parameters;split;datas;model;accuracy_direction;ae_close_max;ae_close_mean;ae_close_median;ae_close_p25;ae_close_p75;ae_high_max;ae_high_mean;ae_high_median;ae_high_p25;ae_high_p75;ae_low_max;ae_low_mean;ae_low_median;ae_low_p25;ae_low_p75;ae_open_max;ae_open_mean;ae_open_median;ae_open_p25;ae_open_p75;high_position_accuracy;low_position_accuracy;mae;mae_close;mae_high;mae_low;mae_open;mape_close;mape_high;mape_low;mape_open;mse;mse_close;mse_high;mse_low;mse_open;n_samples;ohlc_order_accuracy;r2_close;r2_high;r2_low;r2_open;range_bias;range_mae;rmse_close;rmse_high;rmse_low;rmse_open;smape_close;smape_high;smape_low;smape_open;volatility_mae;volatility_ratio
nl4_dm128_nh8_dff512_dr0,1_bs64_e200_esp20_wu26100;9_05_05;(10-60)_(1-6)_step30_scTrue_rsi_macd_bollinger;transformer;0.566;0.778;0.075;0.019;0.008;0.069;0.777;0.075;0.019;0.008;0.067;0.778;0.076;0.02;0.008;0.069;0.779;0.075;0.02;0.008;0.069;0.955;1;0.075;0.075;0.075;0.076;0.075;9.922;9.852;9.954;9.936;13.402;0.025;0.025;0.025;0.025;198;0.475;-1.1756119631946653;-1.165709882005432;-1.1739747510370555;-1.1812502488125296;2.04e-4;7.455e-4;0.158;0.158;0.158;0.158;13.413;13.316;13.447;13.432;0.001;2.254
nl4_dm128_nh8_dff512_dr0,1_bs64_e100_esp10_wu13050;9_05_05;(10-60)_(1-6)_step30_scTrue;transformer;0.463;0.904;0.141;0.069;0.031;0.129;0.912;0.146;0.07;0.032;0.131;0.911;0.139;0.061;0.023;0.142;0.912;0.144;0.07;0.032;0.129;0.028;1;0.142;0.141;0.146;0.139;0.144;18.895;19.565;18.719;19.403;26.622;0.054;0.056;0.056;0.056;177;0.006;-3.7485045784136606;-3.9260775371518513;-3.8676280046927474;-3.881935367279236;0.005;0.005;0.233;0.238;0.236;0.237;26.14;27.17;26.245;26.936;0.01;-5.866362092138636
